iter	Passed	Remaining
0	1	120
1	2	114
2	3	109
3	4	96
4	4	92
5	5	88
6	6	85
7	7	83
8	7	80
9	8	78
10	9	77
11	10	75
12	11	73
13	11	73
14	12	73
15	13	72
16	14	70
17	15	68
18	15	67
19	16	66
20	17	65
21	18	64
22	18	62
23	19	62
24	20	61
25	21	60
26	22	59
27	22	58
28	23	57
29	24	56
30	25	56
31	26	55
32	27	54
33	27	53
34	28	52
35	29	51
36	29	50
37	30	50
38	31	49
39	32	48
40	32	47
41	33	45
42	33	44
43	34	43
44	35	43
45	35	42
46	36	41
47	37	40
48	38	39
49	38	38
50	39	38
51	40	37
52	41	36
53	42	35
54	42	34
55	43	33
56	43	33
57	44	32
58	45	31
59	46	30
60	46	29
61	47	29
62	48	28
63	49	27
64	49	26
65	50	26
66	51	25
67	51	24
68	52	23
69	53	22
70	54	22
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	58	17
77	59	16
78	59	15
79	60	15
80	61	14
81	61	13
82	62	12
83	63	12
84	63	11
85	64	10
86	65	9
87	65	8
88	66	8
89	67	7
90	68	6
91	69	6
92	69	5
93	70	4
94	71	3
95	71	2
96	72	2
97	73	1
98	74	0
99	74	0
